n1,n2,exact_change,approx_change
7,10,98,172
5,7,21,70
3,10,0,9
7,9,111,175
5,7,56,102
3,8,2,5
7,10,103,178
5,9,14,33
3,5,13,15
7,8,88,149
5,9,50,71
3,9,10,29
7,10,63,93
5,9,12,60
3,7,6,15
7,8,74,114
5,6,54,89
3,4,8,16
7,10,76,119
5,6,73,100
3,9,14,29
7,8,107,180
5,6,29,60
3,6,13,33
7,9,98,201
5,8,49,87
3,10,0,8
7,8,95,158
5,8,31,87
3,8,4,17
7,9,88,122
5,10,16,62
3,5,7,14
7,8,134,177
4,9,14,35
8,9,51,125
6,10,47,115
4,10,20,40
8,9,93,152
6,9,47,93
4,6,0,23
8,10,190,287
6,7,64,114
4,7,41,70
8,10,170,240
6,10,32,57
4,9,16,50
8,9,205,265
6,9,42,121
4,10,14,36
8,10,102,201
6,7,98,147
4,5,25,34
8,10,96,184
6,10,32,72
4,7,31,62
8,9,151,227
6,8,58,88
4,8,22,36
8,9,133,220
6,7,35,70
4,10,7,26
8,10,90,178
6,10,56,116
4,5,19,43
8,9,167,266
6,8,88,128
4,6,37,38
8,9,133,211
6,7,43,93
4,8,18,44
8,10,128,228
6,9,35,104
4,9,7,25
8,10,99,201
6,8,104,136
4,10,3,11
8,9,128,223
6,7,82,110
4,6,17,30
8,10,104,151
6,9,38,94
4,7,12,16
8,10,111,213
6,8,43,92
4,9,15,28
8,9,128,181
6,10,50,95
4,10,43,61
8,10,167,281
6,9,40,99
4,5,18,42
8,10,55,131
6,8,92,152
4,7,13,54
8,9,110,164
6,10,62,105
4,8,26,68
8,9,106,195
6,9,40,78
4,10,4,32
8,10,74,152
6,8,64,122
4,5,44,59
8,9,69,151
6,10,56,118
4,6,11,33
8,9,139,227
6,9,117,187
4,8,8,42
8,10,129,245
6,7,71,110
4,9,35,80
8,10,120,196
6,10,44,95
4,10,21,51
8,9,79,133
6,9,61,120
4,6,3,42
8,10,84,140
6,7,44,97
4,7,24,51
8,10,86,181
6,10,54,102
4,9,18,39
8,9,192,250
6,8,69,95
4,10,9,40
8,10,149,214
6,7,73,81
4,5,28,45
8,10,179,291
6,10,56,114
4,7,24,54
8,9,164,259
6,8,60,74
4,8,36,41
8,9,146,223
6,7,65,137
4,10,16,59
8,10,124,230
6,10,39,62
4,5,11,29
8,9,151,237
6,8,26,75
4,6,34,66
8,9,104,164
6,7,49,100
4,8,9,26
8,10,109,187
6,9,34,79
4,9,8,34
8,10,141,220
6,8,44,107
4,10,5,32
8,9,120,182
6,7,75,133
4,6,37,49
8,10,138,201
6,9,55,125
4,7,28,36
8,10,113,174
5,6,22,42
3,8,2,16
7,10,98,153
5,8,44,77
3,5,7,21
7,8,90,164
5,8,29,57
3,9,0,7
7,10,97,177
5,8,39,87
3,7,2,14
7,8,79,164
5,10,33,73
3,4,17,18
7,10,33,107
5,10,24,68
3,9,6,25
7,8,97,129
5,7,27,70
3,6,2,17
7,9,85,142
5,7,33,61
3,10,6,18
7,8,53,113
5,7,49,73
3,8,12,17
7,9,78,138
5,9,27,88
3,5,8,22
7,8,83,132
5,9,20,59
3,10,5,16
7,9,74,131
5,9,41,74
3,7,6,33
7,10,78,162
5,6,53,107
3,4,36,50
7,9,70,144
5,6,34,63
3,9,1,19
7,10,56,105
5,8,39,79
3,6,9,18
7,9,96,153
5,8,22,52
3,10,18,44
7,10,95,151
5,8,36,81
3,8,6,10
7,8,105,150
5,10,43,74
3,5,14,21
7,10,79,125
5,10,26,73
3,10,9,15
7,8,75,132
5,7,28,78
3,7,0,11
7,9,64,137
5,7,36,101
3,4,34,47
7,8,72,142
5,7,14,42
3,9,18,30
7,9,83,133
5,9,26,76
3,6,2,9
7,8,159,192
5,9,24,57
3,4,32,36
7,9,63,123
5,9,26,68
3,8,0,0
7,10,66,162
5,6,31,50
3,5,9,16
7,9,86,164
5,6,35,73
3,10,15,35
7,10,91,150
5,8,40,72
3,7,0,19
7,9,115,203
5,8,43,80
3,4,8,9
7,10,80,198
5,8,39,82
3,9,0,0
7,8,104,170
5,10,50,93
3,6,0,6
7,10,83,190
5,10,21,73
3,4,24,27
7,8,90,159
5,7,37,101
3,8,1,12
7,9,125,200
5,7,36,81
3,5,6,20
7,8,109,214
5,7,81,112
3,10,2,25
7,9,123,213
5,9,11,48
3,7,5,22
7,8,96,183
5,9,30,85
3,5,3,14
7,9,92,167
5,9,23,79
3,9,1,20
7,10,114,170
5,6,36,41
3,6,0,10
7,9,91,158
5,6,29,56
3,4,40,44
7,10,89,161
5,8,28,67
3,8,8,27
7,9,124,188
5,8,30,65
3,6,10,23
7,10,62,137
5,8,44,102
8,9,123,207
6,9,34,56
4,10,7,30
8,10,115,186
6,7,31,146
