n1,n2,exact_change,approx_change
6,9,43,100
4,9,6,30
8,10,128,217
6,8,57,99
4,5,50,55
8,9,186,258
6,10,45,103
4,6,48,53
8,9,156,215
6,9,42,103
4,7,21,59
8,10,136,200
6,8,45,94
4,9,6,30
8,9,89,158
6,10,103,188
4,10,1,16
8,9,155,240
6,9,27,47
4,6,29,68
8,10,114,195
6,7,62,121
4,7,31,57
8,9,144,206
6,10,49,105
4,8,14,35
8,9,153,232
6,9,73,126
4,10,2,33
8,10,117,231
6,7,54,91
4,5,19,41
8,10,152,246
6,10,65,139
4,7,53,75
8,9,161,240
6,9,47,92
4,8,16,31
8,10,107,196
6,7,63,115
4,9,16,28
8,10,165,244
6,10,75,129
4,5,27,54
8,9,141,214
6,8,104,161
4,6,12,29
8,9,131,218
6,7,73,130
4,7,24,63
8,10,111,229
6,10,39,80
4,9,16,38
8,9,172,254
6,8,93,172
4,10,3,24
8,9,132,229
6,7,102,151
4,6,27,39
8,10,100,187
6,9,90,152
4,7,29,66
8,9,148,260
6,8,99,163
4,8,24,34
8,9,121,201
6,7,102,110
4,10,14,48
8,10,129,221
6,9,52,101
4,5,19,57
8,10,138,224
6,8,59,99
4,7,21,38
8,9,158,221
6,7,61,109
4,8,1,22
8,10,96,167
6,9,25,93
4,9,15,43
8,10,129,221
6,8,50,111
4,5,26,51
8,9,162,212
6,10,36,79
4,6,16,26
8,9,111,185
6,9,53,113
4,7,43,49
8,10,168,237
6,8,98,134
4,9,4,20
8,9,154,250
6,10,39,120
4,10,5,43
8,9,164,259
6,9,49,109
4,6,18,29
8,10,150,208
6,7,90,146
4,7,24,52
8,10,78,134
6,10,34,61
3,4,13,13
7,10,81,137
5,7,14,64
3,9,6,7
7,8,142,204
5,9,29,75
3,6,13,24
7,10,115,173
5,9,36,72
3,4,10,19
7,8,102,162
5,6,56,92
3,8,1,3
7,9,117,223
5,6,42,61
3,5,12,22
7,8,106,177
5,6,24,57
3,10,1,10
7,9,84,130
5,8,14,52
3,7,1,4
7,8,93,184
5,8,36,74
3,5,9,20
7,9,117,157
5,8,43,94
3,9,9,37
7,10,91,174
5,10,22,66
3,6,3,9
7,9,108,201
5,10,25,88
3,4,14,23
7,10,85,147
5,7,27,63
3,8,18,24
7,9,49,86
5,7,45,75
3,5,5,16
7,10,77,148
5,7,34,59
3,10,1,6
7,8,82,139
5,9,12,51
3,7,7,11
7,10,72,157
5,9,37,81
3,5,15,40
7,8,104,146
5,6,42,68
3,9,6,20
7,9,70,158
5,6,38,77
3,6,2,15
7,8,95,154
5,6,48,54
3,4,19,22
7,9,86,153
5,8,48,90
3,8,3,29
7,8,71,111
5,8,29,70
3,6,0,7
7,9,90,132
5,8,9,48
3,10,0,8
7,10,89,150
5,10,35,72
3,7,7,23
7,9,135,199
5,10,44,79
3,5,4,15
7,10,46,107
5,7,24,58
3,9,7,30
7,9,69,115
5,7,29,71
3,6,25,37
7,10,89,165
5,7,20,53
3,4,17,40
7,8,73,113
5,9,21,49
3,8,2,12
7,10,95,161
5,9,44,66
3,6,10,28
7,8,109,166
5,6,58,115
3,10,0,12
7,9,159,234
5,6,46,73
3,7,0,9
7,8,106,175
5,6,63,86
3,5,6,28
7,9,49,139
5,8,33,69
3,9,4,20
7,8,97,159
5,8,14,14
3,7,4,10
7,9,81,145
5,10,41,103
3,4,4,4
7,10,57,155
5,10,12,64
3,8,0,11
7,9,98,179
5,10,29,65
3,6,7,14
7,10,115,146
5,7,28,83
3,10,4,21
7,9,72,136
5,7,27,54
3,8,0,9
7,10,95,158
5,7,13,34
3,5,11,13
7,8,118,174
5,9,29,54
3,9,1,11
7,10,91,153
5,9,14,58
3,7,0,5
7,8,89,139
4,10,16,47
8,10,95,204
6,9,65,121
4,5,35,58
8,9,176,240
6,8,47,92
4,6,46,76
8,9,143,246
6,7,101,157
4,8,11,30
8,10,80,166
6,9,63,107
4,9,40,61
8,10,192,272
6,8,138,174
4,5,14,33
8,9,196,301
6,7,63,119
4,6,31,70
8,10,98,162
6,9,77,123
4,7,4,19
8,10,125,241
6,8,99,136
4,9,0,19
8,9,111,181
6,10,17,86
4,10,4,29
8,9,64,116
6,9,75,121
4,5,26,45
8,10,108,175
6,8,45,101
4,7,25,63
8,9,107,197
6,10,35,98
4,8,44,52
8,9,115,170
6,9,60,117
4,10,8,30
8,10,162,265
6,7,56,97
4,5,20,44
8,9,74,149
6,10,48,107
4,6,20,44
8,9,48,122
6,9,39,82
4,8,14,40
8,10,118,174
6,7,84,111
4,9,44,73
8,10,62,143
6,10,15,48
4,5,11,27
8,9,94,199
6,9,77,112
4,6,31,41
8,10,96,173
6,7,92,148
4,7,48,84
8,10,92,147
6,10,60,125
4,9,5,23
8,9,130,211
6,8,44,81
4,10,11,40
8,9,116,220
6,7,94,135
4,5,26,58
8,10,97,149
6,10,26,92
4,7,25,44
8,9,146,229
6,8,57,98
4,8,29,56
8,9,163,232
6,7,64,101
4,10,17,39
8,10,146,229
6,9,36,92
4,5,4,22
8,9,138,229
6,8,21,58
4,6,69,88
8,9,161,254
6,7,84,153
4,8,20,20
8,10,129,235
6,9,35,70
4,9,20,39
8,10,130,161
6,8,25,53
4,5,28,29
8,9,203,304
6,10,44,80
4,6,13,29
8,10,135,189
6,9,64,91
4,7,43,49
8,10,55,150
6,8,45,93
4,9,19,46
8,9,143,227
6,10,59,130
4,10,33,62
8,9,184,249
6,9,77,107
4,6,23,32
8,10,122,178
6,8,43,92
4,7,18,27
8,9,123,211
6,10,27,71
4,8,13,41
8,9,188,245
6,9,77,106
4,10,9,11
8,10,182,286
6,7,55,123
4,5,22,23
8,10,129,225
6,10,91,125
4,6,63,87
8,9,143,225
6,9,46,101
4,8,16,36
8,10,145,216
5,7,28,59
3,9,6,14
7,8,87,162
5,7,69,73
3,7,3,27
7,9,69,145
5,9,13,28
3,4,2,14
7,10,75,141
5,9,26,67
3,8,10,16
7,9,104,196
5,9,67,106
3,6,6,29
7,10,100,167
5,6,34,69
3,10,0,2
7,9,94,182
5,6,51,83
3,8,12,17
7,10,109,159
5,6,50,80
3,5,24,24
7,8,139,205
5,8,15,72
3,9,0,7
7,10,65,165
5,8,20,81
3,7,0,7
7,8,160,209
5,10,58,107
3,4,2,21
7,10,115,183
5,10,26,63
3,8,3,20
7,8,106,137
5,10,28,51
3,6,1,16
7,9,70,126
5,7,68,90
3,10,2,8
7,8,146,202
5,7,28,67
3,8,5,27
7,9,66,114
5,9,48,109
3,5,1,10
7,10,83,161
5,9,20,36
3,9,0,9
7,9,89,152
5,9,9,45
3,7,11,33
7,10,51,118
5,6,38,74
3,4,3,15
7,9,87,140
5,6,30,53
3,9,3,33
7,10,61,104
5,6,23,31
3,6,27,36
7,8,95,160
5,8,62,96
3,10,0,9
7,10,124,204
5,8,13,13
3,8,15,33
7,8,139,184
5,10,3,19
3,5,4,28
7,10,83,163
5,10,18,73
3,9,4,10
7,8,90,141
5,10,24,64
3,7,23,41
7,9,97,197
5,7,35,65
3,4,0,12
7,8,73,139
5,7,20,53
3,9,0,7
7,9,105,181
5,9,20,52
3,6,5,8
7,8,91,119
5,9,41,92
3,10,0,13
7,9,94,165
5,9,31,44
3,8,2,8
7,10,73,116
5,6,29,55
3,5,4,27
7,9,129,165
5,6,76,132
3,10,5,16
7,10,82,174
5,8,21,37
3,7,8,27
7,8,97,145
5,8,27,58
3,4,21,40
7,10,74,134
5,8,46,99
3,9,1,7
7,8,116,201
5,10,14,67
3,6,0,9
7,10,85,171
5,10,16,40
3,4,0,7
7,8,111,154
5,10,60,115
3,8,2,14
7,9,63,151
5,7,19,59
3,5,10,27
7,8,104,115
5,7,32,74
3,10,10,35
7,9,68,122
5,9,57,108
3,7,0,10
7,8,78,175
5,9,35,74
3,4,10,21
6,8,65,128
4,10,24,54
8,9,125,219
6,7,62,104
4,6,33,59
8,10,97,170
6,9,11,60
4,7,19,43
8,10,81,185
6,8,45,125
4,9,30,44
8,9,115,196
6,7,72,95
4,10,23,53
8,10,172,267
6,9,45,95
4,5,18,34
8,10,89,190
6,8,119,173
4,7,23,24
8,9,154,241
6,10,45,60
4,8,32,70
8,9,146,230
6,9,25,60
4,9,4,41
8,10,132,220
6,8,15,50
4,5,62,95
8,9,121,205
6,10,86,125
4,6,12,14
8,9,191,271
6,9,50,94
4,8,15,47
8,10,128,216
6,7,38,113
4,9,13,54
8,9,131,237
6,10,57,107
4,10,19,34
8,9,174,238
6,9,30,84
4,6,14,31
8,10,109,189
6,7,30,88
4,7,34,56
8,10,109,206
6,10,65,120
4,9,15,32
8,9,185,284
6,9,29,98
4,10,28,48
8,10,124,203
6,7,68,143
4,5,7,29
8,10,115,208
6,10,43,72
4,7,22,47
8,9,185,273
6,8,50,117
4,8,15,40
8,9,92,184
6,7,70,133
4,10,12,44
8,10,136,192
6,10,38,103
4,5,43,64
8,9,104,177
6,8,57,112
4,6,40,43
8,9,90,167
6,7,88,112
4,8,11,29
8,10,102,164
6,9,28,47
4,9,28,70
8,10,91,210
6,8,59,113
4,10,8,11
8,9,89,149
6,7,64,121
4,6,15,40
8,10,144,271
6,9,82,130
4,7,26,63
8,10,153,235
6,8,45,76
4,9,15,27
8,9,105,158
6,10,39,71
4,10,18,48
8,10,115,192
6,9,63,84
4,5,82,92
8,10,79,160
6,8,80,106
4,7,4,34
8,9,138,234
6,10,15,39
4,8,7,29
8,9,182,237
6,9,40,108
4,10,15,40
8,10,126,181
6,8,62,115
4,5,30,52
8,9,110,188
6,10,31,94
4,6,27,36
8,9,139,220
6,9,24,74
4,8,26,50
8,10,137,239
6,7,75,122
4,9,2,13
8,10,113,239
6,10,36,82
4,10,5,31
8,9,91,179
6,9,79,121
4,6,35,57
8,10,143,239
6,7,92,130
4,7,14,41
8,10,149,238
6,10,37,92
3,10,13,26
7,10,92,143
5,7,39,74
3,7,2,18
7,8,132,188
5,7,41,60
3,4,9,16
7,10,59,132
5,7,27,60
3,9,0,0
7,8,94,165
5,9,39,76
3,6,5,19
7,10,66,134
5,9,18,65
3,4,12,32
7,8,78,121
5,9,7,43
3,8,10,26
7,9,85,159
5,6,51,64
3,5,15,35
7,8,78,132
5,6,61,99
3,10,3,20
7,9,63,168
5,8,36,85
3,7,9,29
7,8,135,204
5,8,40,74
3,4,5,6
7,9,105,150
5,8,35,66
3,9,0,14
7,10,82,156
5,10,20,63
3,6,3,17
7,9,108,176
5,10,57,81
3,4,39,55
7,10,129,204
5,7,38,75
3,8,3,18
7,8,91,150
5,7,12,46
3,5,13,13
7,10,117,210
5,7,49,93
3,10,0,25
7,8,123,191
5,9,22,72
3,7,15,25
7,10,61,153
5,9,24,47
3,5,2,3
7,8,79,121
5,6,45,70
3,9,0,10
7,9,95,177
5,6,77,103
3,6,0,17
7,8,101,156
5,6,35,87
3,4,26,56
7,9,148,200
5,8,18,34
3,8,8,30
7,8,44,128
5,8,51,95
3,6,8,14
7,9,101,148
5,8,35,79
3,10,0,4
7,10,82,134
5,10,30,74
3,7,0,5
7,9,80,137
5,10,25,58
3,5,9,13
7,10,124,209
5,7,36,78
3,9,0,4
7,9,106,176
5,7,43,75
3,6,14,23
7,10,101,169
5,7,31,79
3,4,5,14
7,8,136,200
5,9,23,40
3,8,9,19
7,10,86,175
5,9,17,49
3,6,0,29
7,8,100,180
5,6,52,73
3,10,1,3
7,9,51,87
5,6,40,68
3,7,6,17
7,8,80,157
5,6,36,55
3,5,6,17
7,9,49,121
5,8,56,87
3,9,6,16
7,8,68,134
5,8,18,47
3,7,9,16
7,9,108,213
5,8,20,67
3,4,18,23
7,10,107,166
5,10,29,89
3,8,2,15
7,9,77,140
5,10,14,58
3,6,17,23
7,10,24,80
5,7,58,115
3,10,0,6
7,9,90,112
5,7,37,80
3,7,2,21
7,10,106,197
5,7,16,30
3,5,9,28
7,8,111,160
4,10,13,47
8,10,96,175
6,9,40,95
4,5,33,49
8,10,158,224
6,8,81,159
4,7,19,48
8,9,209,278
6,7,66,99
4,8,13,35
8,10,126,190
6,9,47,83
4,9,31,50
8,10,128,208
6,8,78,135
4,5,22,40
8,9,130,201
6,10,54,94
4,6,6,22
8,9,187,278
6,9,63,130
4,7,13,29
8,10,112,142
6,8,42,83
4,9,13,32
8,9,60,158
6,10,24,84
4,10,0,24
8,9,188,265
6,9,43,90
4,6,17,26
8,10,137,228
6,7,110,146
4,7,12,35
8,10,127,180
6,10,52,106
4,8,20,46
8,9,159,254
6,9,97,166
4,10,11,12
8,10,106,179
6,7,88,100
4,5,25,43
8,10,124,180
6,10,27,72
4,7,31,57
8,9,80,171
6,8,101,124
4,8,18,44
8,10,121,190
6,7,76,129
4,9,7,42
8,10,151,233
6,10,38,85
4,5,29,39
8,9,134,199
6,8,48,91
4,6,32,45
8,9,159,255
6,7,61,81
4,8,8,24
8,10,147,220
6,10,42,119
4,9,11,44
8,9,128,204
6,8,61,123
4,10,25,66
8,9,141,217
6,7,85,110
4,6,63,98
8,10,119,189
6,9,49,94
4,7,9,35
8,10,122,188
6,8,30,82
4,8,43,83
8,9,144,236
6,7,113,157
4,10,12,52
8,10,98,170
6,9,45,82
4,5,13,23
8,10,148,245
6,8,42,91
4,7,18,73
8,9,161,212
6,10,53,115
4,8,41,48
8,10,93,165
6,9,67,154
4,9,6,31
8,10,150,235
6,8,44,81
4,5,45,57
8,9,132,184
6,10,42,93
4,6,15,22
8,9,140,179
6,9,46,91
4,8,0,5
8,10,128,210
6,8,65,99
4,9,19,27
8,9,97,171
6,10,69,109
4,10,19,39
8,9,114,217
6,9,50,107
4,6,25,43
8,10,130,203
6,7,77,132
4,7,11,33
8,10,125,189
6,10,42,99
4,8,30,57
8,9,111,201
6,9,52,91
4,10,33,64
8,10,170,227
6,7,52,96
4,5,21,30
8,10,131,185
6,10,53,124
4,7,15,37
8,9,119,198
6,8,60,100
4,8,20,34
8,10,80,134
5,10,23,42
3,7,19,31
7,8,114,167
5,10,26,87
3,5,6,10
7,9,79,137
5,7,36,46
3,9,7,21
7,8,73,153
5,7,22,45
3,7,7,19
7,9,117,172
5,7,84,100
3,4,13,21
7,10,61,137
5,9,8,41
3,8,9,38
7,9,56,137
5,9,38,96
3,6,9,19
7,10,108,144
5,6,21,38
3,10,15,29
7,9,56,90
5,6,49,77
3,8,8,21
7,10,75,113
5,6,32,72
3,5,5,23
7,8,100,148
5,8,47,64
3,9,9,30
7,10,109,188
5,8,16,62
3,7,4,16
7,8,42,93
5,10,19,55
3,4,14,29
7,10,45,105
5,10,17,57
3,8,18,30
7,8,133,182
5,10,22,58
3,6,18,26
7,9,72,134
5,7,38,80
3,10,1,26
7,8,60,162
5,7,56,118
3,8,8,25
7,9,126,197
5,9,29,81
3,5,3,31
7,10,36,86
5,9,34,80
3,9,1,17
7,9,152,220
5,9,35,72
3,7,8,22
7,10,71,125
5,6,39,73
3,4,2,13
7,9,94,157
5,6,50,82
3,9,0,17
7,10,77,186
5,6,41,81
3,6,15,21
7,8,111,168
5,8,29,59
3,10,4,25
7,10,75,123
5,8,15,39
3,8,3,15
7,8,114,173
5,10,42,96
3,5,5,26
7,10,59,104
5,10,23,51
3,9,9,16
7,8,126,165
5,10,21,57
3,7,7,13
7,9,68,158
5,7,27,62
3,4,23,34
7,8,63,136
5,7,31,62
3,9,0,9
7,9,96,166
5,9,44,85
3,6,26,52
7,10,55,126
5,9,61,104
3,10,8,32
7,9,78,167
5,9,31,48
3,8,1,9
7,10,108,159
5,6,30,57
3,5,28,38
7,9,91,197
5,6,70,97
3,10,0,10
7,10,86,172
5,6,49,71
3,7,22,43
7,8,100,185
5,8,11,28
3,4,18,25
7,10,85,193
5,8,24,58
3,9,4,11
7,8,69,159
5,10,25,55
3,6,7,21
7,10,75,150
5,10,31,59
3,10,10,12
7,8,60,117
5,10,23,58
3,8,1,6
7,9,121,203
5,7,22,64
3,5,25,30
7,8,69,153
5,7,21,59
3,10,0,11
6,8,81,113
4,5,53,76
8,9,150,233
6,7,90,151
4,6,8,22
8,10,107,194
6,9,58,126
4,7,11,35
8,10,163,270
6,8,63,145
4,9,4,29
8,9,196,271
6,10,90,158
4,10,11,31
8,9,104,179
6,9,57,132
4,6,16,35
8,10,105,172
6,8,72,139
4,7,5,12
8,9,95,175
6,10,58,96
4,8,2,29
8,9,208,294
6,9,63,116
4,10,10,37
8,10,112,227
6,7,59,90
4,5,15,47
8,10,109,197
6,10,37,110
4,6,18,24
8,9,91,189
6,9,111,178
4,8,10,27
8,10,147,248
6,7,64,110
4,9,21,48
8,10,122,200
6,10,48,87
4,5,35,54
8,9,136,223
6,8,58,97
4,6,9,34
8,10,87,159
6,7,55,97
4,7,11,36
8,10,85,147
6,10,48,121
4,9,11,30
8,9,173,241
6,8,102,147
4,10,20,51
8,9,176,284
6,7,72,119
4,6,25,42
8,10,118,192
6,10,41,117
4,7,9,23
8,9,175,270
6,8,19,69
4,8,50,82
8,9,120,192
6,7,83,113
4,10,9,30
8,10,175,267
6,9,26,74
4,5,37,65
8,10,112,232
6,8,75,161
4,6,17,39
8,9,150,235
6,7,84,120
4,8,9,23
8,10,123,212
6,9,32,88
4,9,33,48
8,10,73,152
6,8,52,117
4,5,12,29
8,9,143,210
6,10,42,75
4,6,9,33
8,10,199,271
6,9,87,131
4,7,39,66
8,10,131,211
6,8,69,133
4,9,5,16
8,9,120,216
6,10,26,58
4,10,2,36
8,9,151,224
6,9,66,132
4,6,26,51
8,10,174,254
6,8,61,89
4,7,0,6
8,9,135,223
6,10,35,77
4,8,12,41
8,9,128,158
6,9,48,118
4,10,24,36
8,10,95,159
6,7,93,132
4,5,13,31
8,10,113,197
6,10,40,79
4,6,39,66
8,9,87,149
6,9,77,130
4,8,38,50
8,10,84,143
6,7,95,144
4,9,12,36
8,10,98,189
6,10,54,94
4,5,30,47
8,9,117,157
6,8,77,131
4,6,19,41
8,9,176,249
6,7,70,98
4,7,15,29
8,10,137,236
6,10,63,111
4,9,16,42
7,10,77,139
5,10,28,57
3,5,12,22
7,9,67,104
5,10,17,55
3,10,10,34
7,10,71,96
5,7,14,41
3,7,18,30
7,8,66,141
5,7,40,78
3,4,12,27
7,10,90,145
5,7,40,74
3,9,34,41
7,8,80,136
5,9,35,67
3,6,34,48
7,10,82,160
5,9,30,47
3,4,10,22
7,8,103,155
5,9,46,79
3,8,11,13
7,9,42,102
5,6,29,46
3,5,7,33
7,8,56,122
5,6,94,126
3,10,1,15
7,9,149,197
5,8,37,83
3,7,10,16
7,8,50,76
5,8,38,79
3,4,14,15
7,9,56,138
5,8,43,99
3,9,7,29
7,10,49,142
5,10,11,35
3,6,10,15
7,9,105,159
5,10,21,26
3,4,6,27
7,10,86,188
5,7,32,82
3,8,6,31
7,8,130,220
5,7,16,43
3,5,0,15
7,10,83,192
5,7,50,98
3,10,6,24
7,8,88,145
5,9,27,54
3,7,2,19
7,10,91,149
5,9,41,90
3,5,4,15
7,8,92,161
5,9,46,75
3,9,2,14
7,9,43,129
5,6,46,68
3,6,8,30
7,8,89,172
5,6,38,49
3,4,8,22
7,9,94,131
5,8,35,69
3,8,0,1
7,8,104,175
5,8,31,92
3,5,0,21
7,9,61,133
5,8,46,62
3,10,0,16
7,10,104,165
5,10,19,68
3,7,15,30
7,9,69,133
5,10,18,62
3,5,36,60
7,10,85,152
5,7,41,86
3,9,9,21
7,8,91,142
5,7,27,76
3,6,0,4
7,10,46,113
5,7,19,76
3,4,21,21
7,8,81,151
5,9,20,59
3,8,11,29
7,10,51,127
5,9,20,39
3,6,19,38
7,8,69,109
5,9,36,63
3,10,24,45
7,9,67,128
5,6,44,101
3,7,14,33
7,8,104,182
5,6,62,94
3,5,21,39
7,9,86,139
5,8,42,82
3,9,3,10
7,8,90,166
5,8,32,45
3,7,8,24
7,9,85,158
5,8,12,41
3,4,22,34
7,10,92,174
5,10,23,73
3,8,2,22
7,9,99,167
5,10,36,75
3,6,13,19
7,10,67,159
5,7,11,43
3,10,7,14
7,9,93,142
4,10,15,45
8,10,80,142
6,9,52,99
4,5,9,17
8,10,133,192
6,8,47,81
4,7,8,30
8,9,185,254
6,10,15,41
4,8,5,37
8,9,111,197
6,9,46,70
4,10,6,23
8,10,127,223
6,8,72,120
4,5,43,66
8,9,181,301
6,10,75,141
4,6,25,50
8,9,140,235
6,9,69,125
4,8,9,34
8,10,132,203
6,7,50,108
4,9,25,47
8,10,77,194
6,10,47,101
4,10,12,45
8,9,108,186
6,9,48,111
4,6,16,24
8,10,122,184
6,7,33,68
4,7,15,31
8,10,78,133
6,10,75,134
4,9,8,40
8,9,99,176
6,8,49,91
4,10,24,39
8,10,130,192
6,7,83,151
4,5,15,18
8,10,115,204
6,10,36,115
4,7,5,38
8,9,140,167
6,8,36,73
4,8,22,51
8,9,118,204
6,7,131,176
4,10,0,22
8,10,101,194
6,10,34,87
4,5,17,29
8,9,179,261
6,8,76,107
4,6,44,61
8,9,246,309
6,7,58,130
4,8,10,35
8,10,62,115
6,9,59,104
4,9,10,38
8,10,108,170
6,8,64,106
4,10,10,43
8,9,129,205
6,7,135,187
4,6,19,29
8,10,136,228
6,9,87,138
4,7,12,26
8,10,99,188
6,8,51,124
4,9,7,18
8,9,131,216
6,10,47,150
4,10,31,35
8,10,94,131
6,9,67,104
4,5,18,45
8,10,112,181
6,8,70,125
4,7,14,30
8,9,107,136
6,10,32,84
4,8,18,56
8,9,107,152
6,9,58,110
4,10,3,23
8,10,116,214
6,8,105,138
4,5,39,48
8,9,73,145
6,10,36,87
4,6,16,24
8,9,114,189
6,9,60,72
4,8,2,13
8,10,147,267
6,7,125,134
4,9,1,22
8,10,114,208
6,10,67,106
4,5,44,65
8,9,112,161
6,9,43,95
4,6,20,47
8,10,94,193
6,7,54,118
4,7,10,28
8,10,164,235
6,10,49,88
4,9,9,24
8,9,85,173
6,8,46,82
4,10,4,22
8,9,140,208
6,7,25,52
4,5,10,33
8,10,108,204
6,10,67,102
4,7,22,54
8,9,131,188
6,8,65,129
4,8,16,29
8,9,143,218
5,8,47,76
3,6,14,15
7,8,76,148
5,10,22,57
3,10,2,13
7,9,55,125
5,10,16,53
3,7,16,26
7,8,104,179
5,10,16,81
3,5,18,26
7,9,82,153
5,7,56,102
3,9,3,20
7,8,141,203
5,7,36,74
3,7,12,25
7,9,98,157
5,7,39,70
3,4,10,25
7,10,86,152
5,9,27,81
3,8,4,14
7,9,78,142
5,9,30,59
3,6,4,8
7,10,71,137
5,6,40,76
3,10,2,16
7,9,140,211
5,6,53,97
3,7,1,8
7,10,67,174
5,6,35,58
3,5,0,0
7,8,87,187
5,8,59,73
3,9,0,18
7,10,41,89
5,8,53,97
3,7,10,15
7,8,98,147
5,10,14,48
3,4,5,33
7,9,84,156
5,10,35,85
3,8,6,14
7,8,88,159
5,10,45,96
3,6,8,23
7,9,104,189
5,7,76,99
3,10,0,23
7,8,47,103
5,7,44,78
3,8,3,26
7,9,61,128
5,7,30,50
3,5,5,16
7,10,86,145
5,9,24,39
3,9,10,34
7,9,64,133
5,9,52,97
3,7,8,8
7,10,99,167
5,6,42,93
3,4,0,0
7,9,80,131
5,6,57,80
3,8,10,12
7,10,55,125
5,6,25,63
3,6,11,24
7,8,113,169
5,8,38,75
3,10,2,24
7,10,112,202
5,8,25,68
3,8,5,25
7,8,91,189
5,10,24,57
3,5,24,48
7,10,54,127
5,10,29,108
3,9,7,18
7,8,88,137
5,10,25,103
3,7,14,36
7,9,128,196
5,7,34,102
3,4,29,42
7,8,79,129
5,7,69,86
3,9,14,27
7,9,76,119
5,9,27,68
3,6,20,44
7,10,83,140
5,9,15,46
3,10,16,36
7,9,63,131
5,9,20,66
3,8,0,11
7,10,92,184
5,6,55,66
3,5,17,24
7,9,73,118
5,6,38,86
3,10,15,23
7,10,59,139
5,6,101,122
3,7,0,8
7,8,75,122
5,8,59,81
3,4,15,20
7,10,59,132
5,8,9,35
3,9,0,3
7,8,91,132
5,10,29,40
3,6,22,47
7,10,68,145
5,10,25,66
3,10,1,19
7,8,57,121
5,10,41,90
3,8,9,24
6,8,55,105
4,5,56,58
8,9,121,195
6,10,71,136
4,6,18,41
8,9,66,143
6,9,39,70
4,8,13,22
8,10,115,220
6,8,70,110
4,9,13,45
8,9,139,219
6,10,54,139
4,10,0,21
8,9,112,221
6,9,42,88
4,6,9,30
8,10,99,188
6,7,81,139
4,7,15,24
8,10,149,208
6,10,48,94
4,8,24,49
8,9,121,165
6,9,59,131
4,10,15,31
8,10,152,229
6,7,30,84
4,5,24,50
8,10,79,137
6,10,27,75
4,7,29,44
8,9,124,189
6,8,91,122
4,8,16,58
8,10,82,171
6,7,79,113
4,9,5,16
8,10,167,240
6,10,46,116
4,5,29,53
8,9,161,243
6,8,49,104
4,6,16,29
8,9,128,187
6,7,62,89
4,8,10,25
8,10,115,201
6,10,50,108
4,9,9,38
8,9,120,186
6,8,19,63
4,10,6,23
8,9,126,202
6,7,77,149
4,6,25,51
8,10,197,270
6,9,53,112
4,7,10,39
8,10,152,280
6,8,36,71
4,8,1,20
8,9,143,218
6,7,85,131
4,10,7,52
8,10,92,191
6,9,85,161
4,5,16,38
8,10,147,241
6,8,50,85
4,7,10,36
8,9,127,244
6,10,87,155
4,8,12,44
8,9,115,178
6,9,42,101
4,9,9,16
8,10,110,192
6,8,25,70
4,5,18,36
8,9,114,162
6,10,34,97
4,6,14,50
8,9,136,223
6,9,56,86
4,8,17,69
8,10,121,195
6,7,101,150
4,9,2,26
8,9,116,169
6,10,56,96
4,10,5,31
8,9,121,237
6,9,90,134
4,6,7,14
8,10,146,199
6,7,49,81
4,7,16,47
8,10,128,212
6,10,32,79
4,9,3,32
8,9,60,136
6,9,46,86
4,10,14,34
8,10,144,209
6,7,81,118
4,5,27,54
8,10,123,227
6,10,53,100
4,7,9,44
8,9,174,250
6,8,75,107
4,8,21,39
8,9,119,180
6,7,72,119
4,9,4,8
8,10,87,160
6,10,63,96
4,5,18,23
8,9,136,200
6,8,70,130
4,6,28,29
8,9,81,169
6,7,65,88
4,8,10,37
8,10,71,146
6,9,38,95
4,9,13,40
7,10,89,163
5,8,35,78
3,10,0,15
7,9,107,177
5,8,26,69
3,8,4,30
7,10,107,158
5,10,39,72
3,5,6,12
7,9,88,172
5,10,37,68
3,10,0,1
7,10,106,175
5,10,23,57
3,7,0,11
7,8,67,126
5,7,50,64
3,4,7,28
7,10,66,141
5,7,21,37
3,9,9,17
7,8,83,181
5,9,14,43
3,6,2,13
7,10,52,119
5,9,28,69
3,10,2,12
7,8,104,161
5,9,33,77
3,8,0,4
7,9,149,222
5,6,93,128
3,5,29,32
7,8,103,164
5,6,45,80
3,10,0,13
7,9,116,165
5,8,29,83
3,7,1,7
7,10,66,113
5,8,28,41
3,4,5,17
7,9,54,101
5,8,34,80
3,9,4,13
7,10,110,170
5,10,19,78
3,6,6,15
7,9,63,124
5,10,30,68
3,4,1,1
7,10,123,176
5,10,32,63
3,8,0,6
7,8,95,159
5,7,101,135
3,5,26,38
7,10,33,93
5,7,71,115
3,10,0,4
7,8,72,122
5,9,23,74
3,7,0,9
7,10,98,173
5,9,20,64
3,5,12,28
7,8,105,165
5,9,77,106
3,9,10,28
7,9,98,161
5,6,38,81
3,6,11,15
7,8,97,144
5,6,62,81
3,4,33,46
7,9,86,119
5,8,53,83
3,8,0,18
7,8,80,127
5,8,35,63
3,5,1,3
7,9,80,171
5,8,22,62
3,10,25,37
7,10,104,162
5,10,33,80
3,7,0,14
7,9,75,143
5,10,25,63
3,5,9,25
7,10,54,163
5,7,50,66
3,9,2,23
7,8,113,176
5,7,34,57
3,6,21,31
7,10,95,149
5,7,16,56
3,4,31,46
7,8,76,130
5,9,43,87
3,8,9,17
7,10,43,116
5,9,22,75
3,6,3,3
7,8,110,172
5,9,8,26
3,10,3,8
7,9,105,183
5,6,54,87
3,7,12,18
